ROI ID,Total Intensity:CH2,Average:CH2,Max Intensity:CH2,Min Intensity:CH2,Total Intensity:CH3,Average:CH3,Max Intensity:CH3,Min Intensity:CH3,Time,Frame Id
1A,2467487.000000,1474.006571,4095.000000,149.000000,618857.000000,369.687575,571.000000,194.000000,6.594480,t011_0_1
2A,2318738.000000,1385.148148,4095.000000,151.000000,648109.000000,387.161888,565.000000,171.000000,6.594480,t011_0_1
3A,1576877.000000,941.981481,4095.000000,150.000000,649477.000000,387.979092,563.000000,170.000000,6.594480,t011_0_1
4A,1205020.000000,719.844683,3916.000000,149.000000,660045.000000,394.292115,571.000000,140.000000,6.594480,t011_0_1
5A,890149.000000,531.749701,2684.000000,150.000000,691530.000000,413.100358,574.000000,142.000000,6.594480,t011_0_1
6A,866243.000000,517.468937,2848.000000,148.000000,694354.000000,414.787336,576.000000,142.000000,6.594480,t011_0_1
7A,1063155.000000,635.098566,3455.000000,148.000000,726756.000000,434.143369,577.000000,127.000000,6.594480,t011_0_1
8A,988757.000000,590.655317,3969.000000,149.000000,685167.000000,409.299283,577.000000,122.000000,6.594480,t011_0_1
9A,1170197.000000,699.042413,4095.000000,149.000000,719187.000000,429.621864,581.000000,121.000000,6.594480,t011_0_1
10A,1514367.000000,904.639785,4095.000000,151.000000,714546.000000,426.849462,579.000000,118.000000,6.594480,t011_0_1
11A,1465942.000000,875.712067,3157.000000,151.000000,720277.000000,430.272999,577.000000,129.000000,6.594480,t011_0_1
12A,1443318.000000,862.197133,3946.000000,151.000000,761960.000000,455.173238,578.000000,131.000000,6.594480,t011_0_1
13A,1629623.000000,973.490442,4095.000000,153.000000,734187.000000,438.582437,580.000000,118.000000,6.594480,t011_0_1
14A,1458201.000000,871.087814,4095.000000,157.000000,759087.000000,453.456989,580.000000,122.000000,6.594480,t011_0_1
15A,1388583.000000,829.500000,4095.000000,155.000000,716823.000000,428.209677,583.000000,114.000000,6.594480,t011_0_1
16A,1308737.000000,781.802270,4095.000000,158.000000,727302.000000,434.469534,581.000000,126.000000,6.594480,t011_0_1
17A,1227278.000000,733.140980,4095.000000,170.000000,830156.000000,495.911589,581.000000,134.000000,6.594480,t011_0_1
18A,961435.000000,574.333931,4095.000000,157.000000,829917.000000,495.768817,581.000000,152.000000,6.594480,t011_0_1
19A,999748.000000,597.221027,4080.000000,151.000000,875468.000000,522.979689,580.000000,181.000000,6.594480,t011_0_1
20A,260364.000000,155.534050,235.000000,149.000000,945544.000000,564.841099,580.000000,551.000000,6.594480,t011_0_1
1A,2452775.000000,1465.218041,4095.000000,146.000000,615668.000000,367.782557,560.000000,192.000000,7.253928,t012_0_1
2A,2296690.000000,1371.977300,4095.000000,150.000000,645707.000000,385.727001,568.000000,173.000000,7.253928,t012_0_1
3A,1572520.000000,939.378734,4095.000000,149.000000,645895.000000,385.839307,561.000000,166.000000,7.253928,t012_0_1
4A,1209023.000000,722.235962,4034.000000,150.000000,656293.000000,392.050777,568.000000,135.000000,7.253928,t012_0_1
5A,879655.000000,525.480884,2610.000000,150.000000,688190.000000,411.105137,573.000000,141.000000,7.253928,t012_0_1
